species,decimalLatitude,decimalLongitude,speciation
Espeletia pycnophylla,1.06683,-77.35384,0.269269264
Espeletia pycnophylla,1.2237,-77.348,0.086147682
Espeletia pycnophylla,1.22737,-77.343,0.274466999
Espeletia pycnophylla,1.223388,-77.341225,0.922403056
Espeletia pycnophylla,1.223388,-77.341225,0.433409052
Espeletia schultesiana,1.21759,-77.3389,0.491094525
Espeletia pycnophylla,1.36667,-77.3333,0.300998698
Espeletia pycnophylla,1.214086,-77.331752,0.394828229
Espeletia pycnophylla,1.214086,-77.331752,0.345555397
Espeletia pycnophylla,0.907464,-77.31145,0.238195421
Espeletia pycnophylla,0.907464,-77.31145,0.390129622
Espeletia pycnophylla,1.2,-77.25,0.417101829
Espeletia pycnophylla,1.270583,-77.239056,0.504872348
Espeletia pycnophylla,1.270583,-77.239056,0.414892738
Espeletia pycnophylla,1.270583,-77.239056,0.299434069
Espeletia pycnophylla,1.270583,-77.239056,0.338820336
Espeletia pycnophylla,1.270583,-77.239056,0.205702669
Espeletia pycnophylla,1.270583,-77.239056,0.259427075
Espeletia pycnophylla,1.270583,-77.239056,0.034157165
Espeletia pycnophylla,1.270583,-77.239056,0.680962246
Espeletia pycnophylla,1.270583,-77.239056,0.251714305
Espeletia pycnophylla,1.270583,-77.239056,0.136152325
Espeletia pycnophylla,1.270583,-77.239056,0.300873684
Espeletia pycnophylla,1.270583,-77.239056,0.107005706
Espeletia pycnophylla,1.270889,-77.238972,0.210726179
Espeletia pycnophylla,1.270889,-77.238972,0.34798153
Espeletia pycnophylla,1.12375,-77.206111,0.158837056
Espeletia pycnophylla,1.12375,-77.206111,0.594768229
Espeletia pycnophylla,0.999611,-77.18275,0.46912794
Espeletia pycnophylla,0.999611,-77.18275,0.504473573
Espeletia pycnophylla,0.999611,-77.18275,0.305839219
Espeletia pycnophylla,0.999611,-77.18275,0.51549528
Espeletia pycnophylla,0.999611,-77.18275,0.326038661
Espeletia pycnophylla,0.999611,-77.18275,0.1695695
Espeletia pycnophylla,0.999611,-77.18275,0.49657703
Espeletia pycnophylla,0.999611,-77.18275,0.433259887
Espeletia pycnophylla,0.999611,-77.18275,0.269250741
Espeletia pycnophylla,0.999611,-77.18275,0.022788317
Espeletia pycnophylla,0.999611,-77.18275,0.068937447
Espeletia pycnophylla,0.999611,-77.18275,0.628651275
Espeletia pycnophylla,0.998917,-77.181694,0.345217782
Espeletia pycnophylla,0.998917,-77.181694,0.35885433
Espeletia pycnophylla,0.998917,-77.181694,0.327267674
Espeletia pycnophylla,0.998917,-77.181694,0.664822494
Espeletia pycnophylla,0.998917,-77.181694,0.40773927
Espeletia pycnophylla,0.998917,-77.181694,0.325453033
Espeletia pycnophylla,0.998917,-77.181694,0.487242896
Espeletia pycnophylla,0.998917,-77.181694,0.424615959
Espeletia pycnophylla,0.998917,-77.181694,0.058481573
Espeletia pycnophylla,0.998917,-77.181694,0.303281415
Espeletia pycnophylla,0.998917,-77.181694,0.515531585
Espeletia pycnophylla,0.998917,-77.181694,0.203951317
Espeletia pycnophylla,1.162667,-77.152747,0.292877629
Espeletia pycnophylla,1.2072,-77.1345,0.478339717
Espeletia pycnophylla,1.14701,-77.1262,0.224455865
Espeletia pycnophylla,1.16877,-77.1202,0.475389568
Espeletia pycnophylla,1.13589,-77.1071,0.235530392
Espeletia pycnophylla,1.13215,-77.0956,0.037414756
Espeletia pycnophylla,1.13215,-77.0956,0.341116957
Espeletia pycnophylla,1.15101,-77.0935,0.517065968
Espeletia pycnophylla,1.12272,-77.0838,0.693966241
Espeletia hartwegiana,3.75,-77.083336,0.055416777
Espeletia hartwegiana,3.75,-77.0833,0.223322634
Espeletia schultesiana,1.251111,-77.000832,0.41805571
Espeletia schultesiana,1.31422,-76.9382,0.045734301
Espeletia pycnophylla,1.521083,-76.935917,0.013349659
Espeletia pycnophylla,1.521083,-76.935917,0.267674381
Espeletia hartwegiana,2.5,-76.8333,0.3810958
Espeletia hartwegiana,2.5,-76.8333,0.39220588
Espeletia hartwegiana,2.5,-76.8333,0.421590816
Espeletia hartwegiana,2.5,-76.8333,0.265662051
Espeletia hartwegiana,2.5,-76.8333,0.121450726
Espeletia hartwegiana,2.5,-76.8333,0.07740025
Espeletia hartwegiana,2.5,-76.8333,0.050983883
Espeletia hartwegiana,2.5,-76.8333,0.358121935
Espeletia hartwegiana,2.5,-76.8333,0.059419411
Espeletia hartwegiana,2.5,-76.8333,0.502217784
Espeletia hartwegiana,2.5,-76.8333,0.035549748
Espeletia hartwegiana,2.5,-76.8333,0.242374662
Espeletia hartwegiana,2.5,-76.8333,0.235092907
Espeletia hartwegiana,2.5,-76.8333,0.045259749
Espeletia hanburyana,1.879285,-76.699004,0.525008589
Espeletia idroboi,1.82,-76.61,0.534967418
Espeletia idroboi,1.93,-76.58,0.067115348
Espeletia idroboi,1.93,-76.58,0.244565868
Espeletia hartwegiana,2.229391,-76.537102,0.467176368
Espeletia hartwegiana,3.75,-76.5,0.424531604
Espeletia hartwegiana,3.75,-76.5,0.523618613
Espeletia hanburyana,2.20969,-76.4947,0.327473816
Espeletia hanburyana,2.31939,-76.4864,0.772133275
Espeletia hanburyana,2.20089,-76.4742,0.262077713
Espeletia hanburyana,2.25808,-76.4704,0.493222622
Espeletia hanburyana,2.19046,-76.4673,0.469902527
Espeletia hanburyana,2.22602,-76.4667,0.106933188
Espeletia hanburyana,2.35994,-76.4465,0.729448823
Espeletia hartwegiana,2.384167,-76.445,0.405461655
Espeletia hartwegiana,2.384167,-76.445,0.467154959
Espeletia hartwegiana,2.38417,-76.445,0.600229995
Espeletia hartwegiana,2.38417,-76.445,0.277105389
Espeletia hartwegiana,2.033333,-76.416667,0.147478833
Espeletia idroboi,2.367937,-76.378755,0.575272252
Espeletia idroboi,2.367937,-76.378755,0.193636389
Espeletia idroboi,2.367937,-76.378755,0.475710463
Espeletia hanburyana,2.26698,-76.2516,0.053954686
Espeletia hartwegiana,2.433333,-76.233333,0.044031067
Espeletia hartwegiana,2.74761,-76.2174,0.338910573
Espeletia hartwegiana,2.74761,-76.2174,0.091625946
Espeletia hartwegiana,2.165556,-76.164722,0.469648769
Espeletia praefrontina,6.40368,-76.1274,0.508118988
Espeletia frontinoensis,6.45556,-76.1206,0.359748942
Espeletia frontinoensis,6.45556,-76.1206,0.097643578
Espeletia praefrontina,6.45556,-76.1206,0.235534438
Espeletia frontinoensis,6.455555,-76.120552,0.122835593
Espeletia frontinoensis,6.455555,-76.120552,0.526329545
Espeletia frontinoensis,6.5,-76.116669,0.368404701
Espeletia frontinoensis,6.5,-76.116667,0.270471106
Espeletia occidentalis,6.46494,-76.1094,0.150356787
Espeletia frontinoensis,6.481139,-76.108444,0.31551538
Espeletia frontinoensis,6.45161,-76.1077,0.330896782
Espeletia frontinoensis,6.463077,-76.10564,0.35245471
Espeletia occidentalis,6.463077,-76.10564,0.254395954
Espeletia frontinoensis,6.46067,-76.10344,0.115341399
Espeletia frontinoensis,6.46067,-76.10344,0.136456874
Espeletia frontinoensis,6.46067,-76.10344,0.127414035
Espeletia hanburyana,3.7416,-76.09929,0.059572933
Espeletia hanburyana,3.7416,-76.09929,0.412787517
Espeletia frontinoensis,6.46215,-76.09913,0.213809516
Espeletia frontinoensis,6.003036,-76.095978,0.20392349
Espeletia occidentalis,5.5,-76.083336,0.020548626
